team_name,canonical_team_name,phase25_decision,identity_feature_eligible,notes
Chinggis Warriors,Chinggis Warriors,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
ChristoFire,ChristoFire,,1,
Cloud 10,Cloud 10,,1,
Cloud9,Cloud9,,1,
Coalesce,Coalesce,,1,
Complexity,Complexity,,1,
Copenhagen Wolves,Copenhagen Wolves,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Corinthians Esports,Corinthians Esports,,1,
Crescent,Crescent,,1,
Ct0m Team,Ct0m Team,,1,
Cybersport.ru,Cybersport.ru,,1,
DASH,DASH,,1,
DEPO,DEPO,,1,
DEWA United,DEWA United,,1,
DMS,DMS,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
DOSKI,DOSKI,,1,
DRGN Team,DRGN Team,,1,
DRILLAS,DRILLAS,,1,
DXA Esports,DXA Esports,,1,
Dark Moon,Dark Moon,,1,
Datejust,Datejust,,1,
Deep Cross Gaming,Deep Cross Gaming,,1,
Deko Team,Deko Team,,1,
Deorum,Deorum,,1,
Des0ut Team,Des0ut Team,,1,
DogEvil,DogEvil,,1,
Donstu Esports,Donstu Esports,,1,
Drama Esports,Drama Esports,,1,
Dripmen,Dripmen,,1,
Drippy Lab,Drippy Lab,,1,
Dusty Roots,Dusty Roots,,1,
Dynamo Eclot,Dynamo Eclot,,1,
E-Xolos LAZER,E-Xolos LAZER,,1,
E7,E7,,1,
ECF,ECF,,1,
ECSTATIC,ECSTATIC,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
EGG,EGG,,1,
EGOISTO,EGOISTO,,1,
ENCE,ENCE,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
ENCE Athena,ENCE Athena,,1,
ENEIDA,ENEIDA,,1,
ENJOY,ENJOY,,1,
ENTERPRISE esports,ENTERPRISE esports,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
EPG Family,EPG Family,,1,
ESC Gaming,ESC Gaming,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
EYEBALLERS,EYEBALLERS,,1,
Echo,Echo,,1,
Eco Warriors,Eco Warriors,,1,
Elevate,Elevate,,1,
EndFastPls,EndFastPls,,1,
Entropiq,Entropiq,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
Eruption,Eruption,,1,
Espionage,Espionage,,1,
Esport Academy CPH,Esport Academy CPH,,1,Youth/academy/junior/female roster - distinct from parent org 'Esport CPH'. Do not merge.
Eternal Fire,Eternal Fire,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Evil Geniuses,Evil Geniuses,,1,
Ex-ENTERPRISE,Ex-ENTERPRISE,,1,'ex-' roster (players who left 'ENTERPRISE') - distinct entity. Do not merge.
FAVBET Team,FAVBET Team,,1,
FC Famalicão Esports,FC Famalicão Esports,,1,
FISSURE,FISSURE,,1,
FLUFFY AIMERS,FLUFFY AIMERS,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
FOKUS,FOKUS,,1,
FORZE,FORZE,,1,
FORZE Reload,FORZE Reload,,1,
FORZE Youngsters,FORZE Youngsters,,1,
FRAGMATIC,FRAGMATIC,,1,
FTW,FTW,,1,
FURIA Academy,FURIA Academy,,1,Youth/academy/junior/female roster - distinct from parent org 'FURIA'. Do not merge.
FURIA Esports,FURIA Esports,,1,
FURIA Esports Female,FURIA Esports Female,,1,Youth/academy/junior/female roster - distinct from parent org 'FURIA Esports'. Do not merge.
FUT Academy,FUT Academy,,1,Youth/academy/junior/female roster - distinct from parent org 'FUT'. Do not merge.
FUT Esports,FUT Esports,,1,
FaZe Clan,FaZe Clan,,1,
Fake do Biru,Fake do Biru,,1,
Falcons Force,Falcons Force,,1,
FatherSAndSons,FatherSAndSons,,1,
FengDa Gaming,FengDa Gaming,,1,
Fingers Crossed,Fingers Crossed,,1,
Fire Flux Esports,Fire Flux Esports,,1,
Fisher College,Fisher College,,1,
Flame Sharks,Flame Sharks,,1,
Flamengo Esports,Flamengo Esports,,1,
Fluffy Gangsters,Fluffy Gangsters,,1,
Fluxo,Fluxo,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Fluxo Demons,Fluxo Demons,,1,
FlyQuest,FlyQuest,,1,
FlyQuest RED,FlyQuest RED,,1,
Fnatic,Fnatic,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
For The Win eSports,For The Win eSports,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
Forsaken,Forsaken,,1,
Fort Arena,Fort Arena,,1,
Forward Gaming,Forward Gaming,,1,
FreeESPI,FreeESPI,,1,
Friendly Campers,Friendly Campers,,1,
G2 Ares,G2 Ares,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
G2 Esports,G2 Esports,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
G3,G3,,1,
GODSENT,GODSENT,,1,
GOOD GAME SPOT,GOOD GAME SPOT,,1,
GR Gaming,GR Gaming,,1,
GRGECHI,GRGECHI,,1,
GRINGOS,GRINGOS,,1,
GTZ.ESPORTS,GTZ.ESPORTS,,1,
GUACAMOLEMOLLY team,GUACAMOLEMOLLY team,,1,
GUN5,GUN5,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Gaimin Gladiators,Gaimin Gladiators,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Galaxy Gaming,Galaxy Gaming,,1,
Galorys,Galorys,,1,
Game Hunters,Game Hunters,,1,
GameAgents,GameAgents,,1,
GamerLegion,GamerLegion,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
GardenGarage,GardenGarage,,1,
GenOne,GenOne,,1,
Gentle Mates,Gentle Mates,,1,
Getting Info,Getting Info,,1,
Glamour,Glamour,,1,
Gluck,Gluck,,1,
Gods Reign,Gods Reign,,1,
Gothboiclique,Gothboiclique,,1,
Grannys Knockers,Grannys Knockers,,1,
Grayhound Gaming,Grayhound Gaming,,1,
Grindas,Grindas,,1,
Gucci Gaming Academy,Gucci Gaming Academy,,1,Youth/academy/junior/female roster - distinct from parent org 'Gucci Gaming'. Do not merge.
Guild Eagles,Guild Eagles,,1,
HAVU Gaming,HAVU Gaming,,1,
HAWAII,HAWAII,,1,
HOLLYWOOD,HOLLYWOOD,,1,
HOTU,HOTU,,1,
HSG,HSG,,1,
HUEC,HUEC,,1,
Hashiras,Hashiras,,1,
Heimo,Heimo,,1,
Heroic,Heroic,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
Heroic Academy,Heroic Academy,,1,Youth/academy/junior/female roster - distinct from parent org 'Heroic'. Do not merge.
Hesta,Hesta,,1,
Homyno,Homyno,,1,
Hooch Team,Hooch Team,,1,
Housebets,Housebets,,1,
HubaBuba,HubaBuba,,1,
Hype Esports,Hype Esports,,1,
HyperSpirit,HyperSpirit,,1,
IHC Esports,IHC Esports,,1,
IKLA,IKLA,,1,
ILIN,ILIN,,1,
INGLORIOUS,INGLORIOUS,,1,
INOX Division,INOX Division,,1,
ITB Academy,ITB Academy,,1,Youth/academy/junior/female roster - distinct from parent org 'ITB'. Do not merge.
Iberian Soul,Iberian Soul,,1,
Iedopieca,Iedopieca,,1,
Illuminar,Illuminar,,1,
Immunity Apartments,Immunity Apartments,,1,
Imperial Esports,Imperial Esports,,1,
Imperial Female,Imperial Female,,1,Youth/academy/junior/female roster - distinct from parent org 'Imperial'. Do not merge.
Infinite Gaming,Infinite Gaming,,1,
Inner Circle,Inner Circle,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Insilio,Insilio,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Intense Game,Intense Game,,1,
Interstellars - Apollo,Interstellars - Apollo,,1,
Into The Breach,Into The Breach,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
IookingForOrg,IookingForOrg,,1,
JANO Esports,JANO Esports,,1,
JUMBO,JUMBO,,1,
JiJieHao,JiJieHao,,1,
Johnny Speeds,Johnny Speeds,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Just Players,Just Players,,1,
Just Swing,Just Swing,,1,
K10,K10,,1,
K27,K27,,1,
K27 Female,K27 Female,,1,Youth/academy/junior/female roster - distinct from parent org 'K27'. Do not merge.
KAJO,KAJO,,1,
KOI,KOI,,1,
KOLESIE,KOLESIE,,1,
KRÜ Esports,KRÜ Esports,,1,
KZG,KZG,,1,
Kaleido Gaming,Kaleido Gaming,,1,
Keyd Stars,Keyd Stars,,1,
Khan,Khan,,1,
Kitsune Esports,Kitsune Esports,,1,
Kubix Esports,Kubix Esports,,1,
L&G,L&G,,1,
L00m1,L00m1,,1,
LAG Gaming,LAG Gaming,,1,
LEON,LEON,,1,
LOADING-,LOADING-,,1,
LYG Gaming,LYG Gaming,,1,
Lausanne-Sport Esports,Lausanne-Sport Esports,,1,
Lavked,Lavked,,1,
Lazer Cats,Lazer Cats,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Legacy,Legacy,,1,
Leo Team,Leo Team,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Let Her Cook,Let Her Cook,,1,
Liga Pro Team,Liga Pro Team,,1,
Lilmix,Lilmix,,1,
Limitless,Limitless,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Linx Legacy Madagaskar,Linx Legacy Madagaskar,,1,
Little Red Door,Little Red Door,,1,
Lixx Team,Lixx Team,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Looking For 0rg,Looking For 0rg,,1,
Looking4Org,Looking4Org,,1,
Los Grandes,Los Grandes,,1,
Lotus,Lotus,,1,
Love Kazan,Love Kazan,,1,
Luminous,Luminous,,1,
Lynn Vision Gaming,Lynn Vision Gaming,,1,
M1X,M1X,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
M80,M80,,1,
MANA eSports,MANA eSports,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
MANGANES,MANGANES,,1,
MASONIC,MASONIC,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
MIBR,MIBR,,1,
MIBR Female,MIBR Female,,1,Youth/academy/junior/female roster - distinct from parent org 'MIBR'. Do not merge.
MIGHT,MIGHT,,1,
MIRAI Gaming,MIRAI Gaming,,1,
MOLO,MOLO,,1,
MOUZ,MOUZ,,1,
MOUZ NXT,MOUZ NXT,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
MUERTA,MUERTA,,1,
MYSKILL,MYSKILL,,1,
Magic,magic,,1,"Whitespace/case variant of the same team, merged on roster/time evidence: Magic(id=285585) & magic(id=285807): 5 shared players; Magic(id=285585) & magic(id=285813): 5 shared players; Magic(id=285585) & magic(id=285818): 5 shared players"
MagicLight,MagicLight,,1,
MarcaRegistrada,MarcaRegistrada,,1,
Marius,Marius,,1,
Marsborne,Marsborne,,1,
Mercenaires,Mercenaires,,1,
Meta Gaming,Meta Gaming,,1,
Meteor,Meteor,,1,
Metizport,Metizport,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Mindfreak,Mindfreak,,1,
Minkens finest,Minkens finest,,1,
Minlate,Minlate,,1,
Minsk House,Minsk House,,1,
Misa Esports,Misa Esports,,1,
MissionPossible,MissionPossible,,1,
Mokrivskiy Team,Mokrivskiy Team,,1,
Monte,Monte,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Monte Gen,Monte Gen,,1,
Morningstar,Morningstar,,1,
Mousquetaires,Mousquetaires,,1,
Movistar Riders,Movistar Riders,,1,
MungYu Esports,MungYu Esports,,1,
Myth Avenue Gaming,Myth Avenue Gaming,,1,
Mythic,Mythic,,1,
México Quetzales,México Quetzales,,1,
NAVI Javelins,NAVI Javelins,,1,
NIP Impact,NIP Impact,,1,
NOM eSports,NOM eSports,,1,
NRG Esports,NRG Esports,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Natus Vincere,Natus Vincere,,1,
Natus Vincere Junior,Natus Vincere Junior,,1,Youth/academy/junior/female roster - distinct from parent org 'Natus Vincere'. Do not merge.
Nebula In Chaox,Nebula In Chaox,,1,
Nemiga Gaming,Nemiga Gaming,,1,
New Happy,New Happy,,1,
NewBALLS,NewBALLS,,1,
Nexus Gaming,Nexus Gaming,,1,
NigelM,NigelM,,1,
Nigma Galaxy Female,Nigma Galaxy Female,,1,Youth/academy/junior/female roster - distinct from parent org 'Nigma Galaxy'. Do not merge.
NinJa,NinJa,,1,
Ninjas in Pyjamas,Ninjas in Pyjamas,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
Niory Esports,Niory Esports,,1,
Nix + Aunkere Team,Nix + Aunkere Team,,1,
Nixuh,Nixuh,,1,
NoChance,NoChance,,1,
Nomads,Nomads,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Nouns Esports,Nouns Esports,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Novaq,Novaq,,1,
Nuclear TigeRES,Nuclear TigeRES,,1,
O Plano,O Plano,,1,
ODDIK,ODDIK,,1,
OG,OG,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
OLDBOYS,OLDBOYS,,1,
OMEGA,OMEGA,,1,
OMEMO,OMEMO,,1,
ORKS,ORKS,,1,
Oni CLAN,Oni CLAN,,1,
Onyx Ravens,Onyx Ravens,,1,
Oramond,Oramond,,1,
OverDrive + almazer Team,OverDrive + almazer Team,,1,
Oxuji Esports,Oxuji Esports,,1,
PARI,PARI,,1,
PARIVISION,PARIVISION,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
PARTIZAN,PARTIZAN,,1,
PCIFIC Esport,PCIFIC Esport,,1,
PIVOSQUAD,PIVOSQUAD,,1,
PIXEL Team,PIXEL Team,,1,
POGGERZ,POGGERZ,,1,
Partizan Esports,Partizan Esports,,1,
Party Astronauts,Party Astronauts,,1,
Passion UA,Passion UA,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Patins da Ferrari,Patins da Ferrari,,1,
Peanut5,Peanut5,,1,
Pera Esports,Pera Esports,,1,
Perfecto Team,Perfecto Team,,1,
Permitta Esports,Permitta Esports,,1,
Permitta W,Permitta W,,1,
Phantom Esports,Phantom Esports,,1,
Phoenix,Phoenix,,1,
Players,Players,,1,
Pompa Team,Pompa Team,,1,
Preasy Esport,Preasy Esport,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Prestige Esport,Prestige Esport,,1,
PrizyvaNet,PrizyvaNet,,1,
Prodigies Sweden,Prodigies Sweden,,1,
Project 91 Team,Project 91 Team,,1,
Project G,Project G,,1,
PsychoFace,PsychoFace,,1,
QMISTRY,QMISTRY,,1,
QPT,QPT,,1,
QWENTRY,QWENTRY,,1,
Qiang,Qiang,,1,
Quixal,Quixal,,1,
R8 Esports,R8 Esports,,1,
REAL MADRID,REAL MADRID,,1,
RED Canids,RED Canids,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
RESILIENCE,RESILIENCE,,1,
REU,REU,,1,
RGW Esports,RGW Esports,,1,
RKON,RKON,,1,
ROCEAN Lords,ROCEAN Lords,,1,
ROFLAN SQUAD,ROFLAN SQUAD,,1,
RUBIK,RUBIK,,1,
RUBY,RUBY,,1,
RUSH B,RUSH B,,1,
Ramboot R10,Ramboot R10,,1,
Rare Atom,Rare Atom,,1,
ReThink,ReThink,,1,
Re`Di,Re`Di,,1,
Reason Gaming,Reason Gaming,,1,
Rebels Gaming,Rebels Gaming,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Recrent Team,Recrent Team,,1,
Relog Media,Relog Media,,1,
Revenant Esports,Revenant Esports,,1,
Revenge,Revenge,,1,
Rhyno Esports,Rhyno Esports,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
Rocket,Rocket,,1,
Roler Coaster,Roler Coaster,,1,
Rooster,Rooster,,1,
Rune Eaters,Rune Eaters,,1,
Rustec,Rustec,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
SAW,SAW,,1,
SENZA Esports,SENZA Esports,,1,
SHPL,SHPL,,1,
SIXSEVEN,SIXSEVEN,,1,
SPARTA Esports,SPARTA Esports,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
SR Nacague,SR Nacague,,1,
Sabre Esports,Sabre Esports,,1,
Sakura Esports,Sakura Esports,,1,
Sangal Esports,Sangal Esports,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Sasavot Team,Sasavot Team,,1,
Sashi Esport,Sashi Esport,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
