file(s),column_name,raw_dtype_note,granularity,null_pct_series_rows,null_pct_map_rows,known_before_match,leakage_risk_task_A_pre_veto_series,leakage_risk_task_B_map_specific,notes
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",map_id,"numeric-as-string (int-like/float-like, format varies by source file)",map,71.0,0.7,no,n/a (unknown pre-veto),legitimate input,"Task A (pre-veto series prediction): unavailable/unknown, since which maps will be played is not decided yet - do not use. Task B (future map-specific prediction): the target map is a legitimate, required input, not leakage - but only the specific map being predicted, not other maps' results."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",map_name,string/object,map,71.0,0.7,no,n/a (unknown pre-veto),legitimate input,"Task A (pre-veto series prediction): unavailable/unknown, since which maps will be played is not decided yet - do not use. Task B (future map-specific prediction): the target map is a legitimate, required input, not leakage - but only the specific map being predicted, not other maps' results."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",datetime,string/object,series,0.0,0.0,yes (assumed),none,none,"Assumed to be the scheduled/start time, but this is NOT verified against the data source - if it is instead a completion/scrape time, chronological train/test splitting logic would need to change. See Open Questions."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_win,"numeric-as-string (int-like/float-like, format varies by source file)",series outcome,0.0,0.0,no,high,high,"UNRELIABLE, not just leaky: disagrees with sign(score1_match-score2_match) in ~50% of series rows and is internally inconsistent within a match's own rows in ~34% of matches. Do not use as the target or a feature - reconstruct the label from scores instead. See leakage_analysis.md."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",games_played,"numeric-as-string (int-like/float-like, format varies by source file)",series outcome,0.0,0.0,no,high,high,Disagrees with the actual count of map rows for the same match in ~56% of matches - unreliable even as a labeled-leaky feature; verify before any use.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player1_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,6.7,1.3,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player2_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,7.5,2.4,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player3_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,8.2,1.9,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player4_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,8.5,1.8,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player5_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,11.1,3.3,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player1_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,10.5,3.0,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player2_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,11.6,3.7,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player3_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,11.7,3.8,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player4_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,12.7,3.9,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player5_id,"numeric-as-string (int-like/float-like, format varies by source file)",player/lineup,14.6,4.7,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player1,string/object,player/lineup,49.2,2.3,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player2,string/object,player/lineup,49.8,3.5,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player3,string/object,player/lineup,49.7,3.1,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player4,string/object,player/lineup,49.6,3.1,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player5,string/object,player/lineup,50.6,5.1,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player1,string/object,player/lineup,50.2,4.2,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player2,string/object,player/lineup,50.5,4.6,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player3,string/object,player/lineup,50.5,4.8,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player4,string/object,player/lineup,50.8,5.3,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player5,string/object,player/lineup,51.7,6.9,ambiguous,ambiguous,ambiguous,Could reflect the pre-announced starting lineup or the post-hoc actual boxscore roster (incl. substitutions) - not distinguishable from the data alone. Treat as leaky by default until the collection method is confirmed. See Open Questions.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player1_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.2,2.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player1_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.2,2.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player1_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.2,2.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player1_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.2,2.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player1_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.2,2.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player1_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.2,2.3,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player2_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.8,3.5,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player2_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.8,3.5,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player2_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.8,3.5,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player2_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.8,3.5,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player2_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.8,3.5,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player2_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.8,3.5,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player3_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.7,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player3_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.7,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player3_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.7,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player3_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.7,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player3_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.7,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player3_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.7,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player4_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.6,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player4_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.6,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player4_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.6,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player4_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.6,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player4_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.6,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player4_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),49.6,3.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player5_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.6,5.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player5_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.6,5.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player5_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.6,5.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player5_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.6,5.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player5_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.6,5.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_player5_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.6,5.1,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player1_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.2,4.2,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player1_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.2,4.2,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player1_assists,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.2,4.2,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player1_adr,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.2,4.2,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player1_kast,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.2,4.2,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player1_kddiff,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.2,4.2,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player2_kills,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.6,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_player2_deaths,"numeric-as-string (int-like/float-like, format varies by source file)",player boxscore (map-level),50.5,4.6,no,high,high,Post-map boxscore statistic (only ~2.3% null on map rows; only ~50% populated on series rows - treat as map-level). Usable only as a historical/lagged aggregate computed from strictly-prior matches.
